disease,gene_symbol,gene_full_name
Amyotrophic lateral sclerosis,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10
Amyotrophic lateral sclerosis,DAO,D-amino acid oxidase
Amyotrophic lateral sclerosis,ATXN2,ataxin 2
Amyotrophic lateral sclerosis,CHMP2B,charged multivesicular body protein 2B
Amyotrophic lateral sclerosis,SOD1,superoxide dismutase 1
Amyotrophic lateral sclerosis,TREM2,triggering receptor expressed on myeloid cells 2
Amyotrophic lateral sclerosis,VAPB,VAMP associated protein B and C
Amyotrophic lateral sclerosis,VCP,valosin containing protein
Amyotrophic lateral sclerosis,NEFH,neurofilament heavy chain
Amyotrophic lateral sclerosis,OPTN,optineurin
Amyotrophic lateral sclerosis,DCTN1,dynactin subunit 1
Amyotrophic lateral sclerosis,TARDBP,TAR DNA binding protein
Amyotrophic lateral sclerosis,FIG4,FIG4 phosphoinositide 5-phosphatase
Amyotrophic lateral sclerosis,FUS,FUS RNA binding protein
Amyotrophic lateral sclerosis,ANG,angiogenin
Amyotrophic lateral sclerosis,MATR3,matrin 3
Amyotrophic lateral sclerosis,PRPH,peripherin
Amyotrophic lateral sclerosis,PON1,paraoxonase 1
Amyotrophic lateral sclerosis,PON2,paraoxonase 2
Amyotrophic lateral sclerosis,PON3,paraoxonase 3
Amyotrophic lateral sclerosis,SQSTM1,sequestosome 1
Amyotrophic lateral sclerosis,UBQLN2,ubiquilin 2
Amyotrophic lateral sclerosis,C9ORF72,C9orf72-SMCR8 complex subunit
Amyotrophic lateral sclerosis,PFN1,profilin 1
Amyotrophic lateral sclerosis,TBK1,TANK binding kinase 1
Amyotrophic lateral sclerosis,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
Amyotrophic lateral sclerosis,PPARGC1A,PPARG coactivator 1 alpha
Amyotrophic lateral sclerosis,ERBB4,erb-b2 receptor tyrosine kinase 4
Amyotrophic lateral sclerosis,UNC13A,unc-13 homolog A
Ataxia-telangiectasia,ATM,ATM serine/threonine kinase
Huntington disease,HTT,huntingtin
Huntington disease,SLC2A3,solute carrier family 2 member 3
Lafora disease,EPM2A,"EPM2A glucan phosphatase, laforin"
Lafora disease,NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1
22q11.2 deletion syndrome,TBX1,T-box transcription factor 1
22q11.2 deletion syndrome,TBX1,T-box transcription factor 1
22q11.2 deletion syndrome,ARVCF,ARVCF delta catenin family member
22q11.2 deletion syndrome,GP1BB,glycoprotein Ib platelet subunit beta
22q11.2 deletion syndrome,UFD1,ubiquitin recognition factor in ER associated degradation 1
22q11.2 deletion syndrome,HIRA,histone cell cycle regulator
22q11.2 deletion syndrome,COMT,catechol-O-methyltransferase
22q11.2 deletion syndrome,JMJD1C,jumonji domain containing 1C
22q11.2 deletion syndrome,RREB1,ras responsive element binding protein 1
22q11.2 deletion syndrome,SEC24C,"SEC24 homolog C, COPII component"
Sickle cell anemia,HBB,hemoglobin subunit beta
Systemic lupus erythematosus,BANK1,B cell scaffold protein with ankyrin repeats 1
Systemic lupus erythematosus,PXK,PX domain containing serine/threonine kinase like
Systemic lupus erythematosus,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
Systemic lupus erythematosus,CTLA4,cytotoxic T-lymphocyte associated protein 4
Systemic lupus erythematosus,TREX1,three prime repair exonuclease 1
Systemic lupus erythematosus,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1"
Systemic lupus erythematosus,IL10,interleukin 10
Systemic lupus erythematosus,MECP2,methyl-CpG binding protein 2
Systemic lupus erythematosus,FCGR3B,Fc fragment of IgG receptor IIIb
Systemic lupus erythematosus,C4A,complement C4A (Chido/Rodgers blood group)
Systemic lupus erythematosus,C4B,complement C4B (Chido/Rodgers blood group)
Systemic lupus erythematosus,CR2,complement C3d receptor 2
Systemic lupus erythematosus,IRF5,interferon regulatory factor 5
Systemic lupus erythematosus,PDCD1,programmed cell death 1
Systemic lupus erythematosus,PTPN22,protein tyrosine phosphatase non-receptor type 22
Systemic lupus erythematosus,STAT4,signal transducer and activator of transcription 4
Systemic lupus erythematosus,FCGR2B,Fc fragment of IgG receptor IIb
Systemic lupus erythematosus,DNASE1,deoxyribonuclease 1
Systemic lupus erythematosus,BLK,"BLK proto-oncogene, Src family tyrosine kinase"
Systemic lupus erythematosus,ITGAM,integrin subunit alpha M
Systemic lupus erythematosus,KIAA0319L,KIAA0319 like
Systemic lupus erythematosus,JAZF1,JAZF zinc finger 1
Systemic lupus erythematosus,TNIP1,TNFAIP3 interacting protein 1
Systemic lupus erythematosus,TNFAIP3,TNF alpha induced protein 3
Systemic lupus erythematosus,UBE2L3,ubiquitin conjugating enzyme E2 L3
Systemic lupus erythematosus,TNFSF4,TNF superfamily member 4
Systemic lupus erythematosus,SPP1,secreted phosphoprotein 1
Systemic lupus erythematosus,IRAK1,interleukin 1 receptor associated kinase 1
Systemic lupus erythematosus,ETS1,"ETS proto-oncogene 1, transcription factor"
Systemic lupus erythematosus,TLR7,toll like receptor 7
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A1,collagen type IX alpha 1 chain
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A2,collagen type IX alpha 2 chain
Multiple epiphyseal dysplasia due to collagen 9 anomaly,COL9A3,collagen type IX alpha 3 chain
Oculocerebrorenal syndrome of Lowe,OCRL,OCRL inositol polyphosphate-5-phosphatase
Exercise-induced hyperinsulinism,SLC16A1,solute carrier family 16 member 1
Multiple endocrine neoplasia type 1,CDKN1B,cyclin dependent kinase inhibitor 1B
Multiple endocrine neoplasia type 1,CDKN2B,cyclin dependent kinase inhibitor 2B
Multiple endocrine neoplasia type 1,MEN1,menin 1
Fragile X syndrome,FMR1,fragile X messenger ribonucleoprotein 1
X-linked agammaglobulinemia,BTK,Bruton tyrosine kinase
Wilson disease,ATP7B,ATPase copper transporting beta
X-linked retinoschisis,RS1,retinoschisin 1
Stargardt disease,CNGB3,cyclic nucleotide gated channel subunit beta 3
Stargardt disease,PRPH2,peripherin 2
Stargardt disease,ABCA4,ATP binding cassette subfamily A member 4
Stargardt disease,ELOVL4,ELOVL fatty acid elongase 4
Stargardt disease,PROM1,prominin 1
Wiskott-Aldrich syndrome,WAS,WASP actin nucleation promoting factor
Williams syndrome,STX1A,syntaxin 1A
Williams syndrome,TBL2,transducin beta like 2
Williams syndrome,GTF2IRD2,GTF2I repeat domain containing 2
Williams syndrome,VPS37D,VPS37D subunit of ESCRT-I
Williams syndrome,FKBP6,FKBP prolyl isomerase family member 6 (inactive)
Williams syndrome,RFC2,replication factor C subunit 2
Williams syndrome,NCF1,neutrophil cytosolic factor 1
Williams syndrome,TMEM270,transmembrane protein 270
Williams syndrome,EIF4H,eukaryotic translation initiation factor 4H
Williams syndrome,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30
Williams syndrome,METTL27,methyltransferase like 27
Williams syndrome,BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor
Williams syndrome,BAZ1B,bromodomain adjacent to zinc finger domain 1B
Williams syndrome,CLIP2,CAP-Gly domain containing linker protein 2
Williams syndrome,ELN,elastin
Williams syndrome,GTF2I,general transcription factor IIi
Williams syndrome,GTF2IRD1,GTF2I repeat domain containing 1
Williams syndrome,LIMK1,LIM domain kinase 1
Wolf-Hirschhorn syndrome,PIGG,phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)
Wolf-Hirschhorn syndrome,CPLX1,complexin 1
Wolf-Hirschhorn syndrome,CTBP1,C-terminal binding protein 1
Wolf-Hirschhorn syndrome,NSD2,nuclear receptor binding SET domain protein 2
Wolf-Hirschhorn syndrome,NELFA,negative elongation factor complex member A
Wolf-Hirschhorn syndrome,LETM1,leucine zipper and EF-hand containing transmembrane protein 1
Achondroplasia,FGFR3,fibroblast growth factor receptor 3
Ataxia with vitamin E deficiency,TTPA,alpha tocopherol transfer protein
Dentatorubral pallidoluysian atrophy,ATN1,atrophin 1
T-B+ severe combined immunodeficiency due to gamma chain deficiency,IL2RG,interleukin 2 receptor subunit gamma
Kennedy disease,AR,androgen receptor
Ornithine transcarbamylase deficiency,OTC,ornithine transcarbamylase
Homocystinuria due to cystathionine beta-synthase deficiency,CBS,cystathionine beta-synthase
Donohue syndrome,INSR,insulin receptor
Hemoglobin Bart's fetalis syndrome,HBA2,hemoglobin subunit alpha 2
Hemoglobin Bart's fetalis syndrome,HBA1,hemoglobin subunit alpha 1
Hypochondroplasia,FGFR3,fibroblast growth factor receptor 3
Leber hereditary optic neuropathy,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2
Leber hereditary optic neuropathy,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30
Leber hereditary optic neuropathy,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6
Leber hereditary optic neuropathy,MT-CO1,mitochondrially encoded cytochrome c oxidase I
Leber hereditary optic neuropathy,MT-CO3,mitochondrially encoded cytochrome c oxidase III
Leber hereditary optic neuropathy,MT-CYB,mitochondrially encoded cytochrome b
Leber hereditary optic neuropathy,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
Leber hereditary optic neuropathy,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
Leber hereditary optic neuropathy,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
Leber hereditary optic neuropathy,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
Leber hereditary optic neuropathy,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
Leber hereditary optic neuropathy,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
Hydrocephalus with stenosis of the aqueduct of Sylvius,L1CAM,L1 cell adhesion molecule
Maffucci syndrome,IDH2,isocitrate dehydrogenase (NADP(+)) 2
Maffucci syndrome,IDH1,isocitrate dehydrogenase (NADP(+)) 1
Familial mesial temporal lobe epilepsy,CPA6,carboxypeptidase A6
Norrie disease,NDP,norrin cystine knot growth factor NDP
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,TBC1D24,TBC1 domain family member 24
Rolandic epilepsy-speech dyspraxia syndrome,SRPX2,sushi repeat containing protein X-linked 2
Rolandic epilepsy-speech dyspraxia syndrome,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A
Leukoencephalopathy-dystonia-motor neuropathy syndrome,SCP2,sterol carrier protein 2
CNTNAP2-related developmental and epileptic encephalopathy,CNTNAP2,contactin associated protein 2
Chronic granulomatous disease,CYBB,cytochrome b-245 beta chain
Chronic granulomatous disease,NCF1,neutrophil cytosolic factor 1
Chronic granulomatous disease,NCF2,neutrophil cytosolic factor 2
Chronic granulomatous disease,CYBA,cytochrome b-245 alpha chain
Chronic granulomatous disease,NCF4,neutrophil cytosolic factor 4
Chronic granulomatous disease,CYBC1,cytochrome b-245 chaperone 1
Blue cone monochromatism,OPN1MW,"opsin 1, medium wave sensitive"
Blue cone monochromatism,OPN1LW,"opsin 1, long wave sensitive"
NARP syndrome,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6
Alveolar soft tissue sarcoma,TFE3,transcription factor binding to IGHM enhancer 3
Alveolar soft tissue sarcoma,ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing"
Full NF2-related schwannomatosis,NF2,"NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor"
Action myoclonus-renal failure syndrome,SCARB2,scavenger receptor class B member 2
X-linked hypohidrotic ectodermal dysplasia,EDA,ectodysplasin A
X-linked hypohidrotic ectodermal dysplasia,EDA2R,ectodysplasin A2 receptor
2p21 microdeletion syndrome,SLC3A1,solute carrier family 3 member 1
2p21 microdeletion syndrome,PREPL,prolyl endopeptidase like
2p21 microdeletion syndrome,CAMKMT,calmodulin-lysine N-methyltransferase
2p21 microdeletion syndrome,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B"
Hypotonia-cystinuria syndrome,SLC3A1,solute carrier family 3 member 1
Hypotonia-cystinuria syndrome,PREPL,prolyl endopeptidase like
Fibrodysplasia ossificans progressiva,ACVR1,activin A receptor type 1
Gorlin syndrome,PTCH1,patched 1
Gorlin syndrome,SUFU,SUFU negative regulator of hedgehog signaling
Gorlin syndrome,PTCH2,patched 2
Noonan syndrome,RRAS,RAS related
Noonan syndrome,MRAS,muscle RAS oncogene homolog
Noonan syndrome,SPRED2,sprouty related EVH1 domain containing 2
Noonan syndrome,RRAS2,RAS related 2
Noonan syndrome,PTPN11,protein tyrosine phosphatase non-receptor type 11
Noonan syndrome,CBL,Cbl proto-oncogene
Noonan syndrome,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1
Noonan syndrome,KRAS,"KRAS proto-oncogene, GTPase"
Noonan syndrome,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
Noonan syndrome,NRAS,"NRAS proto-oncogene, GTPase"
Noonan syndrome,RIT1,Ras like without CAAX 1
Noonan syndrome,LZTR1,leucine zipper like post translational regulator 1
Noonan syndrome,RASA2,RAS p21 protein activator 2
Noonan syndrome,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2
Noonan syndrome,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
Monosomy 5p syndrome,SEMA5A,semaphorin 5A
Monosomy 5p syndrome,CTNND2,catenin delta 2
"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",HSD17B3,hydroxysteroid 17-beta dehydrogenase 3
Lesch-Nyhan syndrome,HPRT1,hypoxanthine phosphoribosyltransferase 1
Li-Fraumeni syndrome,CDKN2A,cyclin dependent kinase inhibitor 2A
Li-Fraumeni syndrome,MDM2,MDM2 proto-oncogene
Li-Fraumeni syndrome,TP53,tumor protein p53
Li-Fraumeni syndrome,CHEK2,checkpoint kinase 2
Hereditary neuropathy with liability to pressure palsies,PMP22,peripheral myelin protein 22
Hereditary neuropathy with liability to pressure palsies,PMP22,peripheral myelin protein 22
Alpha-1-antitrypsin deficiency,SERPINA1,serpin family A member 1
Waardenburg syndrome type 2,KITLG,KIT ligand
Waardenburg syndrome type 2,TYR,tyrosinase
Waardenburg syndrome type 2,SNAI2,snail family transcriptional repressor 2
Waardenburg syndrome type 2,SOX10,SRY-box transcription factor 10
Waardenburg syndrome type 2,MITF,melanocyte inducing transcription factor
Waardenburg syndrome type 2,EDNRB,endothelin receptor type B
Waardenburg syndrome type 3,PAX3,paired box 3
Townes-Brocks syndrome,SALL1,spalt like transcription factor 1
Townes-Brocks syndrome,DACT1,dishevelled binding antagonist of beta catenin 1
Waardenburg syndrome type 1,PAX3,paired box 3
Hyperkalemic periodic paralysis,SCN4A,sodium voltage-gated channel alpha subunit 4
Schwartz-Jampel syndrome,HSPG2,heparan sulfate proteoglycan 2
Diastrophic dysplasia,SLC26A2,solute carrier family 26 member 2
Hypokalemic periodic paralysis,SCN4A,sodium voltage-gated channel alpha subunit 4
Hypokalemic periodic paralysis,CACNA1S,calcium voltage-gated channel subunit alpha1 S
Hypokalemic periodic paralysis,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3
BOR syndrome,SIX1,SIX homeobox 1
BOR syndrome,EYA1,EYA transcriptional coactivator and phosphatase 1
BOR syndrome,SIX5,SIX homeobox 5
Hereditary hemorrhagic telangiectasia,ACVRL1,activin A receptor like type 1
Hereditary hemorrhagic telangiectasia,SMAD4,SMAD family member 4
Hereditary hemorrhagic telangiectasia,ENG,endoglin
Hereditary hemorrhagic telangiectasia,GDF2,growth differentiation factor 2
Saethre-Chotzen syndrome,FGFR3,fibroblast growth factor receptor 3
Saethre-Chotzen syndrome,FGFR2,fibroblast growth factor receptor 2
Saethre-Chotzen syndrome,TWIST1,twist family bHLH transcription factor 1
Peutz-Jeghers syndrome,STK11,serine/threonine kinase 11
WAGR syndrome,WT1,WT1 transcription factor
WAGR syndrome,PAX6,paired box 6
WAGR syndrome,BDNF,brain derived neurotrophic factor
Zellweger syndrome,PEX11B,peroxisomal biogenesis factor 11 beta
Zellweger syndrome,PEX2,peroxisomal biogenesis factor 2
Zellweger syndrome,PEX1,peroxisomal biogenesis factor 1
Zellweger syndrome,PEX10,peroxisomal biogenesis factor 10
Zellweger syndrome,PEX12,peroxisomal biogenesis factor 12
Zellweger syndrome,PEX13,peroxisomal biogenesis factor 13
Zellweger syndrome,PEX14,peroxisomal biogenesis factor 14
Zellweger syndrome,PEX16,peroxisomal biogenesis factor 16
Zellweger syndrome,PEX19,peroxisomal biogenesis factor 19
Zellweger syndrome,PEX26,peroxisomal biogenesis factor 26
Zellweger syndrome,PEX3,peroxisomal biogenesis factor 3
Zellweger syndrome,PEX5,peroxisomal biogenesis factor 5
Zellweger syndrome,PEX6,peroxisomal biogenesis factor 6
Albers-Schönberg osteopetrosis,CLCN7,chloride voltage-gated channel 7
Abetalipoproteinemia,MTTP,microsomal triglyceride transfer protein
Chédiak-Higashi syndrome,LYST,lysosomal trafficking regulator
Crouzon syndrome,FGFR2,fibroblast growth factor receptor 2
Crouzon syndrome,ERF,ETS2 repressor factor
Cowden syndrome,PTEN,phosphatase and tensin homolog
Cowden syndrome,USF3,upstream transcription factor family member 3
Cowden syndrome,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
Cowden syndrome,SDHB,succinate dehydrogenase complex iron sulfur subunit B
Cowden syndrome,SDHD,succinate dehydrogenase complex subunit D
Cowden syndrome,SDHC,succinate dehydrogenase complex subunit C
Cowden syndrome,SEC23B,"SEC23 homolog B, COPII component"
Cowden syndrome,AKT1,AKT serine/threonine kinase 1
Cowden syndrome,KLLN,"killin, p53 regulated DNA replication inhibitor"
Coffin-Lowry syndrome,RPS6KA3,ribosomal protein S6 kinase A3
Mild hemophilia A,F8,coagulation factor VIII
Severe hemophilia A,F8,coagulation factor VIII
Moderate hemophilia A,F8,coagulation factor VIII
McCune-Albright syndrome,GNAS,GNAS complex locus
Menkes disease,ATP7A,ATPase copper transporting alpha
Jeune syndrome,KIAA0753,KIAA0753
Jeune syndrome,DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1
